year,eea_cell_code,speciesKey,species,n,min_coord_uncertainty
2000,1kmE3808N3134,2889173,Reynoutria japonica,1,700
2000,1kmE3809N3112,2889173,Reynoutria japonica,1,700
2000,1kmE3810N3099,2889173,Reynoutria japonica,1,700
2000,1kmE3813N3096,2889173,Reynoutria japonica,1,700
2000,1kmE3815N3141,2889173,Reynoutria japonica,1,700
2000,1kmE3825N3145,2889173,Reynoutria japonica,1,700
2000,1kmE3826N3115,2889173,Reynoutria japonica,1,700
2000,1kmE3827N3119,2889173,Reynoutria japonica,1,700
2000,1kmE3829N3103,2889173,Reynoutria japonica,1,700
2000,1kmE3829N3138,2889173,Reynoutria japonica,1,700
2000,1kmE3829N3145,2889173,Reynoutria japonica,1,700
2000,1kmE3830N3117,2889173,Reynoutria japonica,1,700
2000,1kmE3832N3097,2889173,Reynoutria japonica,1,700
2000,1kmE3832N3143,2889173,Reynoutria japonica,2,700
2000,1kmE3833N3098,2889173,Reynoutria japonica,1,700
2000,1kmE3833N3150,2889173,Reynoutria japonica,2,700
2000,1kmE3835N3119,2889173,Reynoutria japonica,1,700
2000,1kmE3835N3131,2889173,Reynoutria japonica,1,700
2000,1kmE3839N3113,2889173,Reynoutria japonica,1,700
2000,1kmE3840N3120,2889173,Reynoutria japonica,1,700
2000,1kmE3840N3130,2889173,Reynoutria japonica,1,700
2000,1kmE3842N3119,2889173,Reynoutria japonica,1,700
2000,1kmE3844N3112,2889173,Reynoutria japonica,1,700
2000,1kmE3845N3094,2889173,Reynoutria japonica,1,700
2000,1kmE3845N3096,2889173,Reynoutria japonica,1,700
2000,1kmE3845N3157,2889173,Reynoutria japonica,1,700
2000,1kmE3848N3094,2889173,Reynoutria japonica,1,700
2000,1kmE3850N3118,2889173,Reynoutria japonica,1,700
2000,1kmE3852N3118,2889173,Reynoutria japonica,1,700
2000,1kmE3855N3073,2889173,Reynoutria japonica,1,707
2000,1kmE3856N3145,2889173,Reynoutria japonica,1,700
2000,1kmE3858N3130,2889173,Reynoutria japonica,1,700
2000,1kmE3860N3129,2889173,Reynoutria japonica,1,700
2000,1kmE3861N3105,2889173,Reynoutria japonica,1,700
2000,1kmE3861N3127,2889173,Reynoutria japonica,1,700
2000,1kmE3861N3129,2889173,Reynoutria japonica,1,700
2000,1kmE3863N3096,2889173,Reynoutria japonica,2,700
2000,1kmE3863N3127,2889173,Reynoutria japonica,1,700
2000,1kmE3865N3092,2889173,Reynoutria japonica,1,700
2000,1kmE3867N3090,2889173,Reynoutria japonica,1,700
2000,1kmE3867N3141,2889173,Reynoutria japonica,1,700
