speciesKey,scientificName,species,rank,taxonomicStatus,includes
2889088,Reynoutria sachalinensis Nakai,Reynoutria sachalinensis,SPECIES,ACCEPTED,5334293: Fallopia sachalinensis (Friedrich Schmidt Petrop.) Ronse Decraene | 2889088: Reynoutria sachalinensis Nakai
2889173,Reynoutria japonica Houtt.,Reynoutria japonica,SPECIES,ACCEPTED,5334357: Fallopia japonica (Houtt.) Ronse Decraene | 2889173: Reynoutria japonica Houtt. | 8361333: Fallopia compacta (Hook.fil.) G.H.Loos & P.Keil | 7128523: Fallopia japonica var. japonica
4038485,Reynoutria bohemica Chrtek & Chrtková,Reynoutria bohemica,SPECIES,ACCEPTED,5652296: Fallopia bohemica (Chrtek & Chrtková) J.P.Bailey | 4038485: Reynoutria bohemica Chrtek & Chrtková
