year,eea_cell_code,speciesKey,species,n,min_coord_uncertainty
2000,1kmE3809N3113,2889173,Reynoutria japonica,1,700
2000,1kmE3809N3135,2889173,Reynoutria japonica,1,700
2000,1kmE3811N3099,2889173,Reynoutria japonica,1,700
2000,1kmE3814N3096,2889173,Reynoutria japonica,1,700
2000,1kmE3815N3141,2889173,Reynoutria japonica,1,700
2000,1kmE3825N3145,2889173,Reynoutria japonica,1,700
2000,1kmE3826N3115,2889173,Reynoutria japonica,1,700
2000,1kmE3827N3120,2889173,Reynoutria japonica,1,700
2000,1kmE3829N3138,2889173,Reynoutria japonica,1,700
2000,1kmE3829N3145,2889173,Reynoutria japonica,1,700
2000,1kmE3830N3104,2889173,Reynoutria japonica,1,700
2000,1kmE3831N3118,2889173,Reynoutria japonica,1,700
2000,1kmE3832N3098,2889173,Reynoutria japonica,1,700
2000,1kmE3832N3142,2889173,Reynoutria japonica,2,700
2000,1kmE3832N3151,2889173,Reynoutria japonica,1,700
2000,1kmE3833N3097,2889173,Reynoutria japonica,1,700
2000,1kmE3833N3151,2889173,Reynoutria japonica,1,700
2000,1kmE3835N3120,2889173,Reynoutria japonica,1,700
2000,1kmE3835N3131,2889173,Reynoutria japonica,1,700
2000,1kmE3839N3114,2889173,Reynoutria japonica,1,700
2000,1kmE3840N3120,2889173,Reynoutria japonica,1,700
2000,1kmE3840N3130,2889173,Reynoutria japonica,1,700
2000,1kmE3842N3120,2889173,Reynoutria japonica,1,700
2000,1kmE3844N3112,2889173,Reynoutria japonica,1,700
2000,1kmE3845N3093,2889173,Reynoutria japonica,1,700
2000,1kmE3845N3157,2889173,Reynoutria japonica,1,700
2000,1kmE3846N3095,2889173,Reynoutria japonica,1,700
2000,1kmE3849N3094,2889173,Reynoutria japonica,1,700
2000,1kmE3850N3118,2889173,Reynoutria japonica,1,700
2000,1kmE3852N3118,2889173,Reynoutria japonica,1,700
2000,1kmE3856N3073,2889173,Reynoutria japonica,1,707
2000,1kmE3856N3145,2889173,Reynoutria japonica,1,700
2000,1kmE3858N3130,2889173,Reynoutria japonica,1,700
2000,1kmE3860N3129,2889173,Reynoutria japonica,1,700
2000,1kmE3861N3104,2889173,Reynoutria japonica,1,700
2000,1kmE3861N3127,2889173,Reynoutria japonica,1,700
2000,1kmE3861N3129,2889173,Reynoutria japonica,1,700
2000,1kmE3862N3127,2889173,Reynoutria japonica,1,700
2000,1kmE3863N3096,2889173,Reynoutria japonica,2,700
2000,1kmE3864N3092,2889173,Reynoutria japonica,1,700
2000,1kmE3867N3141,2889173,Reynoutria japonica,1,700
2000,1kmE3868N3090,2889173,Reynoutria japonica,1,700
2000,1kmE3870N3089,2889173,Reynoutria japonica,1,700
2000,1kmE3873N3120,2889173,Reynoutria japonica,1,700
2000,1kmE3879N3113,2889173,Reynoutria japonica,1,700
2000,1kmE3879N3123,4038485,Reynoutria bohemica,1,700
2000,1kmE3880N3076,2889173,Reynoutria japonica,1,707
2000,1kmE3880N3122,2889173,Reynoutria japonica,1,700
2000,1kmE3881N3053,2889173,Reynoutria japonica,1,707
2000,1kmE3881N3122,2889173,Reynoutria japonica,1,700
2000,1kmE3882N3123,2889173,Reynoutria japonica,1,700
2000,1kmE3882N3126,2889088,Reynoutria sachalinensis,1,700
2000,1kmE3884N3090,2889173,Reynoutria japonica,1,700
2000,1kmE3888N3093,2889173,Reynoutria japonica,1,700
2000,1kmE3890N3091,2889173,Reynoutria japonica,1,700
2000,1kmE3891N3100,2889173,Reynoutria japonica,1,700
2000,1kmE3892N3095,2889173,Reynoutria japonica,2,700
2000,1kmE3892N3102,2889173,Reynoutria japonica,1,700
2000,1kmE3893N3054,2889173,Reynoutria japonica,1,707
2000,1kmE3896N3094,2889173,Reynoutria japonica,1,700
2000,1kmE3896N3109,2889173,Reynoutria japonica,2,700
2000,1kmE3897N3107,2889173,Reynoutria japonica,1,700
2000,1kmE3898N3097,2889173,Reynoutria japonica,1,700
2000,1kmE3898N3111,2889173,Reynoutria japonica,3,700
2000,1kmE3901N3034,2889173,Reynoutria japonica,1,707
2000,1kmE3901N3098,2889173,Reynoutria japonica,1,700
2000,1kmE3903N3084,2889173,Reynoutria japonica,1,700
2000,1kmE3905N3142,2889173,Reynoutria japonica,1,700
2000,1kmE3906N3107,2889173,Reynoutria japonica,1,700
2000,1kmE3906N3118,2889173,Reynoutria japonica,1,700
2000,1kmE3907N3097,2889173,Reynoutria japonica,1,700
2000,1kmE3909N3106,2889173,Reynoutria japonica,1,700
2000,1kmE3909N3122,2889173,Reynoutria japonica,1,700
2000,1kmE3914N3120,2889173,Reynoutria japonica,1,700
2000,1kmE3915N3122,2889173,Reynoutria japonica,1,700
2000,1kmE3916N3127,2889173,Reynoutria japonica,1,700
2000,1kmE3917N3096,2889173,Reynoutria japonica,1,700
2000,1kmE3917N3133,2889173,Reynoutria japonica,1,700
2000,1kmE3921N3036,2889173,Reynoutria japonica,1,707
2000,1kmE3921N3094,2889173,Reynoutria japonica,1,700
2000,1kmE3921N3096,2889173,Reynoutria japonica,1,700
2000,1kmE3921N3104,2889173,Reynoutria japonica,1,700
2000,1kmE3921N3132,2889173,Reynoutria japonica,1,700
2000,1kmE3923N3098,2889173,Reynoutria japonica,2,700
2000,1kmE3924N3091,2889173,Reynoutria japonica,1,700
2000,1kmE3924N3101,2889173,Reynoutria japonica,1,700
2000,1kmE3924N3104,2889173,Reynoutria japonica,1,700
2000,1kmE3924N3122,2889173,Reynoutria japonica,1,700
2000,1kmE3925N3129,2889173,Reynoutria japonica,1,700
2000,1kmE3926N3090,2889173,Reynoutria japonica,1,700
2000,1kmE3927N3136,2889173,Reynoutria japonica,1,700
2000,1kmE3927N3137,2889173,Reynoutria japonica,2,700
2000,1kmE3928N3099,2889173,Reynoutria japonica,1,700
2000,1kmE3928N3100,2889173,Reynoutria japonica,1,700
2000,1kmE3928N3103,2889173,Reynoutria japonica,1,700
2000,1kmE3928N3139,2889173,Reynoutria japonica,1,700
